model,accuracy,precision,recall,f1_score,true_negative,false_positive,false_negative,true_positive,specificity
DBSCAN,0.9083151418932328,0.8462783171521036,0.9812382739212008,0.9087749782797567,11379,2090,220,11506,0.8448288662855445
Isolation Forest,0.5795197459813455,0.5482770385533947,0.5481835237932798,0.5482302771855011,8173,5296,5298,6428,0.6068008018412652
One-Class SVM,0.7348680293709069,0.7684042553191489,0.6159815793962136,0.6838019502035406,11292,2177,4503,7223,0.8383695894275744
Local Outlier Factor,0.46965667791228416,0.41468502294534837,0.33907555858775373,0.373088111100685,7857,5612,7750,3976,0.5833395203801321
